-1.90258e+19	-1
-2.57849e+19	-1
-9.51292e+18	-1
-1.90258e+19	-1
-9.51292e+18	-1
-1.90258e+19	-1
-9.51292e+18	-1
-9.51292e+18	-1
-9.51292e+18	-1
-2.57849e+19	-1
-9.51292e+18	-1
-3.52978e+19	-1
-9.51292e+18	-1
-3.80517e+19	-1
-2.57849e+19	-1
-9.51292e+18	-1
-2.85388e+19	-1
-9.51292e+18	-1
-3.52978e+19	-1
-9.51292e+18	-1
-2.85388e+19	-1
-1.62153e+19	-1
-5.70775e+19	-1
-2.85388e+19	-1
-1.62153e+19	-1
-2.85388e+19	-1
-6.70238e+18	-1
-4.51609e+19	-1
-1.90258e+19	-1
-9.51292e+18	-1
-2093.64	-1
-2.85388e+19	-1
-9.51292e+18	-1
-2.85388e+19	-1
-2.85388e+19	-1
-2.85388e+19	-1
-5.70775e+19	-1
-5.70775e+19	-1
-2.85388e+19	-1
-4.51609e+19	-1
-2.85388e+19	-1
-9.51292e+18	-1
-2.6319e+19	1
-2.85388e+19	1
-3.80517e+19	1
-2.85388e+19	1
-1.90258e+19	-1
-1.90258e+19	-1
-7.16949e+19	-1
-7.16949e+19	-1
-1.90258e+19	-1
-2.85388e+19	-1
-1.90258e+19	-1
-4.51609e+19	-1
-5.19697e+19	-1
-5.19697e+19	-1
-3.52978e+19	-1
-2.85388e+19	-1
-1.90258e+19	-1
-3.52978e+19	-1
-9.51292e+18	-1
-3.52978e+19	-1
